,unique_id,material,label,minor_axis_length,area,eccentricity,major_axis_length,bbox,red_intensity_mean,green_intensity_mean,blue_intensity_mean,red_intensity_sd,green_intensity_sd,blue_intensity_sd,hue_intensity_mean,sat_intensity_mean,val_intensity_mean,hue_intensity_sd,sat_intensity_sd,val_intensity_sd
0,pyt_2019_lwr5_1100_2021_0915,berry,1,1.7845275943715377,3.1846906518547935,0.620953008831644,2.2766251469679255,"(91, 435, 209, 541)",207.64215527480835,170.03185401144586,80.1727675197063,16.44140647716889,24.132426293670044,16.76790622555205,21.184537306986286,157.36237987258394,207.64215527480835,2.9052195792442,15.233509277137069,16.44140647716889
1,pyt_2019_lwr5_1100_2021_0915,berry,2,1.7990141199429832,3.61763801506451,0.7129508029002924,2.5655705329621608,"(95, 228, 205, 357)",208.03536121673002,139.2972433460076,83.11349809885931,20.68946308303334,35.293392136808436,20.431222107664876,13.588498098859315,154.59515209125476,208.03536121673002,4.598164705275409,18.32891488835258,20.68946308303334
2,pyt_2019_lwr5_1100_2021_0915,berry,3,1.799166224796005,3.054015514428509,0.5628898550386288,2.1767655744590106,"(95, 803, 199, 915)",199.3200090079946,159.79281612431032,63.12262132642721,22.92992839728003,37.8905742606064,21.653003174842876,21.177232293660623,176.20425627744623,199.3200090079946,4.38509205807787,22.459816559403944,22.92992839728003
3,pyt_2019_lwr5_1100_2021_0915,berry,4,1.7205424830967873,2.5450702423471903,0.40781884253478123,1.8843636653489184,"(106, 626, 201, 725)",178.67382786109985,116.26428860964735,36.27077421970004,25.397439726550946,43.99972216731805,13.546136731821782,16.503985947844885,204.71328198892041,178.67382786109985,6.316796897114216,14.954426035243669,25.397439726550946
5,pyt_2019_lwr5_1100_2021_0915,berry,6,1.622985852846006,2.8872327732396985,0.6991388369804689,2.2699549381118054,"(204, 141, 296, 261)",162.26953311100525,53.91877084325869,36.87982372558361,29.262474377435446,29.894328346424476,16.527763114404753,4.378870890900429,199.41186279180562,162.26953311100525,9.331884334526094,18.605024814931408,29.262474377435446
6,pyt_2019_lwr5_1100_2021_0915,berry,7,1.7034414728964533,2.9346884810418756,0.6309530550772305,2.195662977767928,"(205, 905, 303, 1020)",177.30759315678463,71.66334661354581,44.22580267166627,19.03579069521445,27.261946175200272,15.660453696052913,6.187719709397704,192.64471525662057,177.30759315678463,3.1989216498322177,17.85103180152238,19.03579069521445
7,pyt_2019_lwr5_1100_2021_0915,berry,8,1.4675483420283244,2.153732593949527,0.6221176931795556,1.8744460989209184,"(206, 343, 286, 444)",190.03400926073766,118.63611687689605,53.310394379690244,23.51209769436526,38.61010455950453,18.03496255591907,14.327319176113683,185.33546223854384,190.03400926073766,5.2708985928894085,17.65483359489472,23.51209769436526
8,pyt_2019_lwr5_1100_2021_0915,berry,9,1.4791451526187587,2.2090975863854005,0.6324217585162205,1.909500204933887,"(208, 720, 291, 820)",199.01774595267747,161.0736301369863,55.56382316313823,17.656690338898564,27.711847245017722,17.685275378378403,22.076587795765878,185.04981320049814,199.01774595267747,2.907089682846074,18.637735976540526,17.656690338898564
9,pyt_2019_lwr5_1100_2021_0915,berry,10,1.742546430962965,2.9150872104279326,0.5775127896179555,2.1344752885257114,"(288, 435, 391, 544)",201.14474460304353,164.50713695882976,56.417364633714755,15.016193525406427,23.762853616740056,11.584971145329492,22.393063583815028,183.85726082340452,201.14474460304353,2.850949359330431,12.368574329885918,15.016193525406427
10,pyt_2019_lwr5_1100_2021_0915,berry,11,1.3539815882969402,2.061916115810533,0.7185648733867059,1.9468865393878159,"(289, 62, 381, 153)",144.1986324216144,59.76200800533689,34.04369579719813,36.25384069917656,42.88016289401367,16.546720357417662,32.09389593062041,197.20180120080053,144.1986324216144,60.795817649963894,19.47300101688423,36.25384069917656
11,pyt_2019_lwr5_1100_2021_0915,berry,12,1.5547352007718926,2.683310782466575,0.7088794798601853,2.2042675378624814,"(295, 238, 381, 355)",146.15442778418557,44.246956298859416,29.94937844418813,32.12578387061642,32.71508764362304,15.19369158773598,34.69242599000385,206.3200051262335,146.15442778418557,66.38952179890612,17.468706379577913,32.12578387061642
12,pyt_2019_lwr5_1100_2021_0915,berry,13,1.5311029567309715,2.0853000877710257,0.47178469560763714,1.7365079014106355,"(304, 820, 391, 912)",191.34614116094986,146.78050791556728,58.917051451187334,19.837850478983643,26.875423712790496,16.779275193006097,19.939808707124012,177.6645778364116,191.34614116094986,3.0306544597119953,16.84531005544256,19.837850478983643
13,pyt_2019_lwr5_1100_2021_0915,berry,14,1.5710201093957483,2.4350280213566347,0.6081006376232515,1.9789638165902235,"(383, 349, 477, 449)",156.43242479875724,43.05451207456574,28.274961163677446,25.907644284605638,20.719616158690833,11.036533102880957,3.390764016381867,210.25928541166502,156.43242479875724,3.3396818603292604,12.654992779598304,25.907644284605638
14,pyt_2019_lwr5_1100_2021_0915,berry,15,1.7886958015062615,3.2025725127657587,0.6236209632047194,2.288133973014585,"(384, 147, 491, 264)",162.1099538279824,38.267368194996244,33.77622677977021,30.80906832062502,20.195655911219166,15.768660895768082,9.93095672715559,204.4156555352733,162.1099538279824,38.68859978287689,17.73534514019414,30.80906832062502
15,pyt_2019_lwr5_1100_2021_0915,berry,16,1.6772786177776131,2.2916292521283173,0.2766038207546606,1.745376142437822,"(387, 536, 480, 627)",173.9437274909964,81.94762905162065,37.89735894357743,18.851770218404305,19.992468279229826,12.75630269047201,9.701830732292917,200.6343037214886,173.9437274909964,1.8279270162209857,14.138547631813,18.851770218404305
16,pyt_2019_lwr5_1100_2021_0915,berry,17,1.5016299632121324,2.341148251574067,0.6556925570206892,1.9888401178975932,"(391, 731, 492, 820)",171.33064042303172,84.4747356051704,48.112220916568745,36.95455797241403,52.7401084985285,27.12331553256,8.582990599294947,188.67758519388954,171.33064042303172,7.258621745635331,27.82578444869367,36.95455797241403
17,pyt_2019_lwr5_1100_2021_0915,berry,18,1.6631554556933532,2.5849605474562662,0.5446020931226442,1.9830287934339672,"(391, 910, 482, 1016)",130.13249966742052,32.11746707463084,25.24970067846215,32.70477394768491,26.05064417251507,9.899282017672558,92.34561660236797,209.85033923107622,130.13249966742052,87.29020047587018,15.454312982504357,32.70477394768491
18,pyt_2019_lwr5_1100_2021_0915,berry,19,1.78373076372701,2.9560091613587955,0.5400734400662629,2.1194068907665455,"(464, 626, 579, 725)",199.64506747324336,149.94160074453234,57.856328524895304,21.984660090612614,42.176707699347325,19.810713049439954,19.51105165193113,182.69055374592833,199.64506747324336,5.26525294393745,21.158162821892006,21.984660090612614
19,pyt_2019_lwr5_1100_2021_0915,berry,20,1.5316495900028477,2.252082828959836,0.5795148810542021,1.8794130699906415,"(478, 441, 575, 533)",202.3527256069629,149.22217132386623,78.45350435180944,24.266963341662866,42.547313609224496,25.183071010455727,17.17987479004428,158.71018476103222,202.3527256069629,4.780733645055306,24.43226144672023,24.266963341662866
20,pyt_2019_lwr5_1100_2021_0915,berry,21,1.5539073438629025,2.6437643592980944,0.7004786642395681,2.17733695455859,"(484, 235, 571, 348)",155.76222684703433,70.31386576482831,28.784599375650366,30.355998552359814,46.983596393987284,12.189063523690299,30.75156087408949,210.5240634755463,155.76222684703433,55.47422023306771,12.89443020914253,30.355998552359814
21,pyt_2019_lwr5_1100_2021_0915,berry,22,1.3882724927181498,1.6513210787395227,0.4065082590031852,1.519484364061115,"(491, 819, 567, 903)",175.5524781341108,151.98209079550188,31.69804248229904,17.299318042319527,20.669200255301497,13.991534907319913,25.02478134110787,210.18325697625988,175.5524781341108,1.4688243690642704,17.001351918834985,17.299318042319527
22,pyt_2019_lwr5_1100_2021_0915,berry,23,1.722604094417832,2.932969071338898,0.6101444720434135,2.174208574405594,"(559, 167, 675, 260)",163.07152069410247,40.538515652479774,38.62844413178567,29.677163107807328,21.20049176158588,17.089144859220415,35.74709813577207,198.09414937272834,163.07152069410247,70.69427031850414,18.886649308635004,29.677163107807328
23,pyt_2019_lwr5_1100_2021_0915,berry,24,1.4359593290137262,1.8311713336709616,0.47465591124244916,1.6314541256176431,"(574, 354, 660, 435)",159.2013145539906,79.64,26.148169014084505,25.417321330621373,44.90420660575152,8.93284380952812,11.39868544600939,213.91661971830985,159.2013145539906,9.56887158636101,9.30040111361683,25.417321330621373
24,pyt_2019_lwr5_1100_2021_0915,berry,25,1.5797046505245285,2.787850892407603,0.7126304054048938,2.2517681085754986,"(576, 899, 675, 1012)",191.14259282101887,108.55149870482299,56.727642777846306,23.225292893975872,36.70586121924394,20.798541555995705,11.524608363142963,181.10410756136673,191.14259282101887,4.7997245181159105,21.289281771455308,23.225292893975872
25,pyt_2019_lwr5_1100_2021_0915,berry,26,1.5947043004943713,2.6870934838131255,0.6730322916225878,2.1561331258786365,"(580, 528, 666, 644)",204.24340926542104,169.73189147683644,72.27399539288457,18.74283084707085,27.641525241314678,21.37321285578837,22.190043511645765,166.07921679037625,204.24340926542104,2.868029500442597,22.334365925770406,18.74283084707085
26,pyt_2019_lwr5_1100_2021_0915,berry,27,1.2992227732869424,1.790249382740099,0.6764215838413692,1.7640148228088828,"(594, 730, 665, 824)",93.35689588935843,16.076450249711872,17.75451402228198,19.193210995976376,3.9762445964964055,4.382724374063254,112.28563196311947,210.8739915482136,93.35689588935843,86.25648601809795,11.166839204578187,19.193210995976376
0,pyt_2018_lwr5_2468_2021_1004,berry,1,1.843598548137261,4.169239828265535,0.7719347820721644,2.900099928898204,"(96, 599, 227, 722)",162.21824686940965,90.72593917710196,44.47844364937388,43.98796944575326,52.38685420530237,23.06160336219097,14.216994633273703,189.32352415026833,162.21824686940965,24.087886137818778,22.746677622405556,43.98796944575326
1,pyt_2018_lwr5_2468_2021_1004,berry,2,1.7573584818503316,3.6907841306211098,0.7581860669745876,2.6951769539990305,"(102, 793, 207, 922)",155.50459735273316,67.37971102354248,43.73557643730423,37.510611533962745,41.219508705783944,22.402165693060972,18.7178943114075,186.82459331110437,155.50459735273316,44.50433671851907,23.169323908428066,37.510611533962745
2,pyt_2018_lwr5_2468_2021_1004,berry,3,1.919043384847091,4.241959127595749,0.7380689350071723,2.8441846624288596,"(111, 421, 225, 560)",121.45037362637363,41.736615384615384,24.755164835164834,42.45189622698846,22.433034706138095,11.85789534933103,22.6901978021978,202.38575824175825,121.45037362637363,52.5015007693856,19.64556554350041,42.45189622698846
3,pyt_2018_lwr5_2468_2021_1004,berry,4,1.9276840327759928,4.206158857156259,0.7215249789384073,2.7841079025325612,"(114, 243, 225, 380)",110.80858232112776,25.088305700860005,23.05496941218193,35.97390436557837,10.184815991118143,9.986132413780249,32.53320329816473,199.4819576203564,110.80858232112776,67.92149243907048,25.582391122792114,35.97390436557837
4,pyt_2018_lwr5_2468_2021_1004,berry,5,1.9788083149087266,4.9609478922554935,0.78866931299006,3.218528921880434,"(273, 216, 402, 366)",130.33616477486282,44.74592197248741,30.632113057205142,47.083852573929725,32.598924225394484,20.021396435183053,17.6774411786815,197.33631511689092,130.33616477486282,47.19983228241775,23.92469726672513,47.083852573929725
5,pyt_2018_lwr5_2468_2021_1004,berry,6,1.9404506151840604,4.030513780312514,0.6852904395575612,2.664466397699103,"(287, 788, 392, 925)",101.27988527017024,23.195780903034787,21.841691339748333,36.8685628651844,11.00052875221843,8.821446879317769,63.343911917098445,199.49074759437454,101.27988527017024,84.49612412734056,20.529295821626476,36.8685628651844
6,pyt_2018_lwr5_2468_2021_1004,berry,7,1.6086892216783806,3.138117455711492,0.7648424296392314,2.4971216594230805,"(288, 435, 396, 548)",66.16066547831254,17.118360071301247,18.85359477124183,18.126690812682178,9.92291210256569,10.700390254810754,127.8118835412953,190.95044563279856,66.16066547831254,80.11551168354853,22.35163359047099,18.126690812682178
7,pyt_2018_lwr5_2468_2021_1004,berry,8,1.919672401217288,4.241586208112004,0.7345844547729611,2.829216735435421,"(300, 587, 399, 733)",113.96439247406366,43.922366801477054,28.484350272551435,49.590908274445205,29.0660593361996,16.72642309871431,36.461666959732725,191.2787058202919,113.96439247406366,66.33368126229576,22.30625610093545,49.590908274445205
8,pyt_2018_lwr5_2468_2021_1004,berry,9,1.7982962111062952,3.674002753852599,0.7251461031994546,2.6115439508423512,"(383, 139, 476, 274)",95.47228989037758,21.94417377182298,20.44285424279334,38.169049149089396,7.576402664993033,6.768718702711805,62.77192448233861,196.06516443361755,95.47228989037758,84.3538229701923,26.48324331833053,38.169049149089396
9,pyt_2018_lwr5_2468_2021_1004,berry,10,1.899320795613232,4.676037406674557,0.7995901312293916,3.162656098452444,"(460, 780, 566, 941)",114.87319562963553,26.976313900630036,22.31421963473961,32.38870455196563,11.33386487303616,8.685867359151535,21.392934045777174,205.62253768243082,114.87319562963553,55.99150515328736,14.741092979244812,32.38870455196563
10,pyt_2018_lwr5_2468_2021_1004,berry,11,1.8329322063860383,3.422655021808684,0.6429485563097108,2.393145053997172,"(468, 416, 564, 542)",124.29189365874919,53.53061669208978,20.96687731531924,39.265606631242036,30.62496040299586,11.639458865928365,9.24831117890608,213.1698627151885,124.29189365874919,12.91007290602173,14.330410499060608,39.265606631242036
11,pyt_2018_lwr5_2468_2021_1004,berry,12,1.8152371641914153,3.540497578672003,0.6857115215184386,2.493891279832072,"(472, 601, 571, 727)",141.5530861596798,34.473246260796294,24.227933431641038,27.746187694822623,16.890029270121147,12.101132511168862,3.3698125131662104,213.06024857804928,141.5530861596798,12.370749885719109,16.047799419597844,27.746187694822623
12,pyt_2018_lwr5_2468_2021_1004,berry,13,1.7638485324935531,3.3879735098204287,0.6971425283835613,2.4602712050050894,"(476, 250, 568, 377)",166.2632911392405,99.86978536048431,35.69422124380848,38.660200983394965,56.85448695059282,20.211312259989676,13.873417721518987,204.37380297193175,166.2632911392405,7.4570605724252825,21.075398792052873,38.660200983394965
13,pyt_2018_lwr5_2468_2021_1004,berry,14,2.036526304764578,4.416112526504515,0.6769321600449935,2.766848712705396,"(558, 868, 668, 1009)",143.820976186455,37.64001013342341,25.92568822833981,41.24210473900548,16.60929360168173,12.419375541459495,18.324438439452795,209.46056409390306,143.820976186455,49.563716826227186,16.34517800656183,41.24210473900548
14,pyt_2018_lwr5_2468_2021_1004,berry,15,1.7868880448869986,3.587485433623833,0.7202112182561394,2.575676447969647,"(567, 496, 661, 629)",96.84812889812889,17.96871101871102,15.555613305613306,27.105444206774898,7.567736955079208,7.155920501272343,16.1004158004158,214.6512474012474,96.84812889812889,49.64621509665953,14.26729877910693,27.105444206774898
